Section Matrix,,,,,,,,,,
,,,,,,,,,,
Section Matrix,,,,,,,,,,
,,,,,,,,,,
Section,ConsultationNote,ContinuityOfCareDocument,DiagnosticImagingReport,DischargeSummary,GeneralHeaderConstraints,HistoryAndPhysicalNote,OperativeNote,ProcedureNote,ProgressNote,UnstructuredDocument
HistoryOfPastIllnessSection(2.16.840.1.113883.10.20.22.2.20),O (MAY)Ê(CONF:9517),,,O (MAY)Ê(CONF:9564),,R (SHALL)Ê(CONF:9619),,O (MAY)Ê(CONF:9819),,
HistoryOfPresentIllnessSection(1.3.6.1.4.1.19376.1.5.3.1.3.4),R (SHALL)Ê(CONF:9493),,,O (MAY)Ê(CONF:9566),,R2 (SHOULD)Ê(CONF:9621),,O (MAY)Ê(CONF:9821),,
HospitalAdmissionDiagnosisSection(2.16.840.1.113883.10.20.22.2.43),,,,R (SHALL)Ê(CONF:9928),,,,,,
HospitalAdmissionMedicationsSectionEntriesOptional(2.16.840.1.113883.10.20.22.2.44),,,,O (MAY)Ê(CONF:10111),,,,,,
HospitalConsultationsSection(2.16.840.1.113883.10.20.22.2.42),,,,O (MAY)Ê(CONF:9924),,,,,,
HospitalCourseSection(1.3.6.1.4.1.19376.1.5.3.1.3.5),,,,R (SHALL)Ê(CONF:9544),,,,,,
HospitalDischargeDiagnosisSection(2.16.840.1.113883.10.20.22.2.24),,,,R (SHALL)Ê(CONF:9546),,,,,,
HospitalDischargeInstructionsSection(2.16.840.1.113883.10.20.22.2.41),,,,O (MAY)Ê(CONF:9926),,,,,,
HospitalDischargeMedicationsSection(2.16.840.1.113883.10.20.22.2.11.1),,,,,,,,,,
HospitalDischargeMedicationsSectionEntriesOptional(2.16.840.1.113883.10.20.22.2.11),,,,R (SHALL)Ê(CONF:9548),,,,,,
HospitalDischargePhysicalSection(1.3.6.1.4.1.19376.1.5.3.1.3.26),,,,O (MAY)Ê(CONF:9568),,,,,,
HospitalDischargeStudiesSummarySection(2.16.840.1.113883.10.20.22.2.16),,,,O (MAY)Ê(CONF:9570),,,,,,
ImmunizationsSection(2.16.840.1.113883.10.20.22.2.2.1),O (MAY)Ê(CONF:9519),,,,,,,,,
ImmunizationsSectionEntriesOptional(2.16.840.1.113883.10.20.22.2.2),,O (MAY)Ê(CONF:9463),,O (MAY)Ê(CONF:9572),,O (MAY)Ê(CONF:9637),,,,
InstructionsSection(2.16.840.1.113883.10.20.22.2.45),,,,,,O (MAY)Ê(CONF:16807),,,O (MAY)Ê(CONF:16806),
InterventionsSection(2.16.840.1.113883.10.20.21.2.3),,,,,,,,,O (MAY)Ê(CONF:8778),
MedicalEquipmentSection(2.16.840.1.113883.10.20.22.2.23),,O (MAY)Ê(CONF:9466),,,,,,,,
MedicalHistorySection(2.16.840.1.113883.10.20.22.2.39),,,,,,,,O (MAY)Ê(CONF:9823),,
MedicationsAdministeredSection(2.16.840.1.113883.10.20.22.2.38),,,,,,,,O (MAY)Ê(CONF:9827),,
MedicationsSection(2.16.840.1.113883.10.20.22.2.1.1),,R (SHALL)Ê(CONF:9447),,,,,,,,
MedicationsSectionEntriesOptional(2.16.840.1.113883.10.20.22.2.1),O (MAY)Ê(CONF:9521)),,,,,R (SHALL)Ê(CONF:9623),,O (MAY)Ê(CONF:9825),O (MAY)Ê(CONF:8771),
ObjectiveSection(2.16.840.1.113883.10.20.21.2.1),,,,,,,,,O (MAY)Ê(CONF:8770),
OperativeNoteFluidSection(2.16.840.1.113883.10.20.7.12),,,,,,,O (MAY)Ê(CONF:9900),,,
OperativeNoteSurgicalProcedureSection(2.16.840.1.113883.10.20.7.14),,,,,,,O (MAY)Ê(CONF:9902),,,
PayersSection(2.16.840.1.113883.10.20.22.2.18),,O (MAY)Ê(CONF:9468),,,,,,,,
PhysicalExamSection(2.16.840.1.113883.10.20.2.10),R2 (SHOULD)Ê(CONF:9495),,,,,R (SHALL)Ê(CONF:9625),,O (MAY)Ê(CONF:9829),O (MAY)Ê(CONF:8780),
PlanOfCareSection(2.16.840.1.113883.10.20.22.2.10),O (MAY)Ê(CONF:9489),O (MAY)Ê(CONF:9470),,R (SHALL)Ê(CONF:9550),,O (MAY)Ê(CONF:9607),O (MAY)Ê(CONF:9904),O (MAY)Ê(CONF:9647),O (MAY)Ê(CONF:8775),
PlannedProcedureSection(2.16.840.1.113883.10.20.22.2.30),,,,,,,O (MAY)Ê(CONF:9906),O (MAY)Ê(CONF:9831),,
PostoperativeDiagnosisSection(2.16.840.1.113883.10.20.22.2.35),,,,,,,R (SHALL)Ê(CONF:9913),,,
PostprocedureDiagnosisSection(2.16.840.1.113883.10.20.22.2.36),,,,,,,,R (SHALL)Ê(CONF:9850),,
PreoperativeDiagnosisSection(2.16.840.1.113883.10.20.22.2.34),,,,,,,R (SHALL)Ê(CONF:9888),,,
ProblemSection(2.16.840.1.113883.10.20.22.2.5.1),,R (SHALL)Ê(CONF:9449),,,,,,,,
ProblemSectionEntriesOptional(2.16.840.1.113883.10.20.22.2.5),O (MAY)Ê(CONF:9523),,,O (MAY)Ê(CONF:9574),,O (MAY)Ê(CONF:9639),,,O (MAY)Ê(CONF:8786),
ProcedureDescriptionSection(2.16.840.1.113883.10.20.22.2.27),,,,,,,R (SHALL)Ê(CONF:9896),R (SHALL)Ê(CONF:9805),,
ProcedureDispositionSection(2.16.840.1.113883.10.20.18.2.12),,,,,,,O (MAY)Ê(CONF:9908),O (MAY)Ê(CONF:9833),,
ProcedureEstimatedBloodLossSection(2.16.840.1.113883.10.20.18.2.9),,,,,,,R (SHALL)Ê(CONF:9890),O (MAY)Ê(CONF:9835),,
ProcedureFindingsSection(2.16.840.1.113883.10.20.22.2.28),,,,,,,R (SHALL)Ê(CONF:9892),O (MAY)Ê(CONF:9837),,
ProcedureImplantsSection(2.16.840.1.113883.10.20.22.2.40),,,,,,,O (MAY)Ê(CONF:9898),O (MAY)Ê(CONF:9839),,
ProcedureIndicationsSection(2.16.840.1.113883.10.20.22.2.29),,,,,,,O (MAY)Ê(CONF:9910),R (SHALL)Ê(CONF:9807),,
ProcedureSpecimensTakenSection(2.16.840.1.113883.10.20.22.2.31),,,,,,,R (SHALL)Ê(CONF:9894),O (MAY)Ê(CONF:9841),,
ProceduresSection(2.16.840.1.113883.10.20.22.2.7.1),,R (SHALL)Ê(CONF:9451),,,,,,,,
ProceduresSectionEntriesOptional(2.16.840.1.113883.10.20.22.2.7),O (MAY)Ê(CONF:9525),,,O (MAY)Ê(CONF:9576),,O (MAY)Ê(CONF:9641),,O (MAY)Ê(CONF:9843),,
ReasonForReferralSection(1.3.6.1.4.1.19376.1.5.3.1.3.1),O (MAY)Ê(CONF:9498),,,,,,,,,
ReasonForVisitSection(2.16.840.1.113883.10.20.22.2.12),O (MAY)Ê(CONF:9500),,,O (MAY)Ê(CONF:9578),,O (MAY)Ê(CONF:9627),,O (MAY)Ê(CONF:9845),,
ResultsSection(2.16.840.1.113883.10.20.22.2.3.1),,R (SHALL)Ê(CONF:9453),,,,,,,,
ResultsSectionEntriesOptional(2.16.840.1.113883.10.20.22.2.3),O (MAY)Ê(CONF:9527),,,,,R (SHALL)Ê(CONF:9629),,,O (MAY)Ê(CONF:8782),
ReviewOfSystemsSection(1.3.6.1.4.1.19376.1.5.3.1.3.18),O (MAY)Ê(CONF:9529),,,O (MAY)Ê(CONF:9580),,R (SHALL)Ê(CONF:9631),,O (MAY)Ê(CONF:9847),O (MAY)Ê(CONF:8788),
SocialHistorySection(2.16.840.1.113883.10.20.22.2.17),O (MAY)Ê(CONF:9531),O (MAY)Ê(CONF:9472),,O (MAY)Ê(CONF:9582),,R (SHALL)Ê(CONF:9633),,O (MAY)Ê(CONF:9849),,
SubjectiveSection(2.16.840.1.113883.10.20.21.2.2),,,,,,,,,O (MAY)Ê(CONF:8790),
SurgicalDrainsSection(2.16.840.1.113883.10.20.7.13),,,,,,,O (MAY)Ê(CONF:9912),,,
VitalSignsSection(2.16.840.1.113883.10.20.22.2.4.1),,,,,,,,,,
VitalSignsSectionEntriesOptional(2.16.840.1.113883.10.20.22.2.4),O (MAY)Ê(CONF:9533),O (MAY)Ê(CONF:9474),,O (MAY)Ê(CONF:9584),,R (SHALL)Ê(CONF:9635),,,O (MAY)Ê(CONF:8784),
